article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
108775015,108775,40763,253,121,7,1010016,25,9,1,4,1,5,1,1676,82,0,6,1,2,16,43,1002,5,14562
108775044,108775,40763,253,121,7,1010016,25,10,47,3,3,9,16,1676,82,0,6,1,2,16,43,1002,5,14562
108775051,108775,40764,253,121,7,1010017,26,11,29,1,2,9,16,1676,82,0,6,1,2,16,43,1002,5,14562
110065001,110065,30468,306,15,16,1010016,25,9,1,4,1,5,1,1339,43,1,7,1,2,61,46,1017,18,21944
110065002,110065,30468,306,15,16,1010016,25,10,47,3,3,9,16,1339,43,1,7,1,2,61,46,1017,18,21944
110065011,110065,30468,306,15,16,1010016,25,12,19,1,2,11,0,1339,43,1,7,1,2,61,46,1017,18,21944
111565001,111565,285,304,115,13,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,26358
111565003,111565,285,302,95,13,1010016,25,13,0,2,5,11,0,3608,199,1,7,1,2,62,47,1021,13,26358
111586001,111586,38929,273,61,6,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,38923
111593001,111593,41125,304,115,13,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,26360
111609001,111609,289,304,115,13,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,22731
112679048,112679,37972,252,100,7,1010001,0,7,17,1,2,12,6,6515,24,5,0,4,0,44,1,1002,5,37897
112679052,112679,37972,252,100,7,1010001,0,71,20,1,2,2,2,6515,24,5,0,4,0,44,1,1002,5,37897
114428026,114428,2010,306,15,16,1010017,26,10,47,3,3,9,16,1334,42,1,7,1,2,61,46,1017,18,41479
114428030,114428,2010,306,15,16,1010016,25,6,22,1,2,12,6,1334,42,1,7,1,2,61,46,1017,18,41479
116379047,116379,16939,254,108,7,1010016,25,73,5,4,1,2,2,1676,82,0,6,1,2,16,43,1002,5,10430
118458003,118458,21016,272,112,6,1010010,15,8,7,4,1,12,6,5883,82,4,8,3,3,26,38,1002,5,41112
118458004,118458,21016,272,112,6,1010010,15,7,17,2,5,12,6,5883,82,4,8,3,3,26,38,1002,5,41112
118458028,118458,21016,272,112,6,1010016,25,9,1,4,1,5,1,5883,82,4,8,3,3,26,38,1002,5,41112
118458029,118458,21016,272,112,6,1010010,15,8,7,4,1,12,6,5883,82,4,8,3,3,26,38,1002,5,41112
118458034,118458,21016,272,112,6,1010016,25,52,40,2,5,4,12,5883,82,4,8,3,3,26,38,1002,5,41112
118458038,118458,21016,272,112,6,1010010,15,9,1,4,1,12,6,5883,82,4,8,3,3,26,38,1002,5,41112
118458039,118458,21016,272,112,6,1010010,15,73,5,2,5,6,8,5883,82,4,8,3,3,26,38,1002,5,41112
120129001,120129,4066,273,61,6,1010016,25,9,1,4,1,5,1,2032,81,0,6,1,2,8,29,1005,6,17782
120129014,120129,4066,273,61,6,1010010,15,9,1,4,1,12,6,2032,81,0,6,1,2,8,29,1005,6,17782
120129018,120129,4066,273,61,6,1010016,25,43,11,4,1,18,13,2032,81,0,6,1,2,8,29,1005,6,17782
120129025,120129,4066,273,61,6,1010001,0,8,7,4,1,12,6,2032,81,0,6,1,2,8,29,1005,6,17782
123173001,123173,9780,273,61,6,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,1044
126589006,126589,452,72,45,0,1010016,25,9,1,4,1,5,1,4342,58,2,5,1,2,66,50,1019,0,23744
126589007,126589,452,72,45,0,1010019,27,15,18,4,1,1,10,4342,58,2,5,1,2,66,50,1019,0,23744
126589010,126589,452,72,45,0,1010011,17,31,23,3,3,3,11,4342,58,2,5,1,2,66,50,1019,0,23744
126589011,126589,452,72,45,0,1010011,17,3,43,3,3,15,9,4343,73,2,5,1,2,66,50,1019,0,23744
126589012,126589,452,72,45,0,1010011,17,5,14,5,0,15,9,4343,73,2,5,1,2,66,50,1019,0,23744
129085001,129085,33343,273,61,6,1010016,25,9,1,4,1,5,1,1676,82,0,6,1,2,16,43,1002,5,35
129085026,129085,33343,273,61,6,1010016,25,10,47,3,3,9,16,1676,82,0,6,1,2,16,43,1002,5,35
129085027,129085,33343,273,61,6,1010010,15,7,17,1,2,12,6,1676,82,0,6,1,2,16,43,1002,5,35
130035001,130035,5347,532,113,10,1010016,25,9,1,4,1,5,1,3419,147,2,5,1,2,66,50,1019,0,41578
141661022,141661,43876,295,78,11,1010002,1,10,47,3,3,9,16,6563,20,5,0,4,0,44,1,1017,18,42024
141661025,141661,43876,295,78,11,1010002,1,51,24,1,2,4,12,6563,20,5,0,4,0,44,1,1017,18,42024
144993001,144993,26867,304,115,13,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,21088
145872001,145872,12288,252,100,7,1010016,25,9,1,4,1,5,1,8559,140,9,9,26,4,22,32,1005,6,19999
145872037,145872,12288,252,100,7,1010010,15,8,7,4,1,12,6,8559,140,9,9,26,4,22,32,1005,6,19999
145872043,145872,12288,252,100,7,1010016,25,10,47,3,3,9,16,8559,140,9,9,26,4,22,32,1005,6,19999
145872051,145872,12288,254,108,7,1010010,15,9,1,4,1,5,1,8559,140,9,9,26,4,22,32,1005,6,19999
145872052,145872,12288,252,100,7,1010010,15,73,5,4,1,2,2,8559,140,9,9,26,4,22,32,1005,6,19999
145872053,145872,12288,252,100,7,1010010,15,8,7,4,1,12,6,8559,140,9,9,26,4,22,32,1005,6,19999
146706001,146706,42075,256,12,7,1010016,25,10,47,3,3,9,16,6515,24,5,0,4,0,44,1,1002,5,33620
146706004,146706,42075,256,12,7,1010016,25,10,47,3,3,9,16,6515,24,5,0,4,0,44,1,1002,5,33620
146706005,146706,600,256,12,7,1010016,25,6,22,1,2,12,6,6515,24,5,0,4,0,44,1,1002,5,33620
146721001,146721,18581,73,46,0,1010016,25,5,14,5,0,15,9,4342,58,2,5,1,2,66,50,1019,0,12247
146721002,146721,18581,73,46,0,1010016,25,3,43,3,3,15,9,4342,58,2,5,1,2,66,50,1019,0,12247
146730001,146730,290,273,61,6,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,22730
147339034,147339,806,256,12,7,1010001,0,10,47,3,3,9,16,6515,24,5,0,4,0,44,1,1002,5,31773
148033001,148033,30082,273,61,6,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,26359
148033006,148033,30082,302,95,13,1010016,25,13,0,2,5,11,0,3608,199,1,7,1,2,62,47,1021,13,26359
150959011,150959,41549,272,112,6,1010016,25,9,1,4,1,5,1,8394,138,9,9,26,4,22,32,1005,6,25476
150959013,150959,41549,272,112,6,1010016,25,8,7,4,1,12,6,8394,138,9,9,26,4,22,32,1005,6,25476
153115019,153115,30466,306,15,16,1010016,25,9,1,4,1,5,1,1339,43,1,7,1,2,61,46,1017,18,37130
153115020,153115,30466,306,15,16,1010016,25,12,19,1,2,11,0,1339,43,1,7,1,2,61,46,1017,18,37130
153115021,153115,30466,306,15,16,1010016,25,10,47,3,3,9,16,1339,43,1,7,1,2,61,46,1017,18,37130
153115039,153115,30466,306,15,16,1010016,25,53,9,7,4,6,8,1339,43,1,7,1,2,61,46,1017,18,37130
153115040,153115,30466,306,15,16,1010016,25,17,49,2,5,13,4,1339,43,1,7,1,2,61,46,1017,18,37130
153115043,153115,30466,306,15,16,1010016,25,17,49,4,1,13,4,1339,43,1,7,1,2,61,46,1017,18,37130
156224001,156224,5830,302,95,13,1010016,25,13,0,2,5,11,0,3608,199,1,7,1,2,62,47,1021,13,26366
156224002,156224,5830,-1,120,18,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,26366
156227001,156227,5829,304,115,13,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,11077
156227002,156227,5829,304,115,13,1010016,25,13,0,2,5,11,0,3608,199,1,7,1,2,62,47,1021,13,11077
156231001,156231,5831,304,115,13,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,21089
156231002,156231,5831,273,61,6,1010016,25,13,0,2,5,11,0,3608,199,1,7,1,2,62,47,1021,13,21089
156289011,156289,39810,272,112,6,1010023,7,72,2,3,3,2,2,7956,94,6,3,4,0,46,21,1016,17,641
156610001,156610,9754,272,112,6,1010016,25,9,1,4,1,5,1,8559,140,9,9,26,4,22,32,1005,6,36195
156610007,156610,2614,272,112,6,1010016,25,9,1,4,1,5,1,8559,140,9,9,26,4,22,32,1005,6,36195
156610010,156610,2614,272,112,6,1010001,0,9,1,4,1,5,1,8559,140,9,9,26,4,22,32,1005,6,36195
158340001,158340,19224,273,61,6,1010016,25,9,1,4,1,5,1,3608,199,1,7,1,2,62,47,1021,13,13100
160442007,160442,635,302,95,13,1010016,25,9,1,4,1,5,1,3611,172,1,7,1,2,62,47,1021,13,30544
160442010,160442,635,302,95,13,1010016,25,10,47,3,3,9,16,3611,172,1,7,1,2,62,47,1021,13,30544
160442042,160442,39951,302,95,13,1010010,15,6,22,2,5,12,6,3610,186,1,7,1,2,62,47,1021,13,30544
160442043,160442,635,302,95,13,1010010,15,6,22,2,5,12,6,3611,172,1,7,1,2,62,47,1021,13,30544
162074062,162074,39295,302,95,13,1010005,5,52,40,5,0,4,12,3937,213,3,4,2,1,51,11,1017,18,9855
162074069,162074,39295,302,95,13,1010001,0,7,17,1,2,12,6,3937,213,3,4,2,1,51,11,1017,18,9855
162074071,162074,39295,302,95,13,1010001,0,9,1,4,1,12,6,3937,213,3,4,2,1,51,11,1017,18,9855
163734002,163734,22028,254,108,7,1010016,25,9,1,4,1,5,1,7930,240,7,2,4,0,79,17,1002,5,20723
163734054,163734,22028,254,108,7,1010010,15,71,20,3,3,2,2,7930,240,7,2,4,0,79,17,1002,5,20723
164912035,164912,38540,302,95,13,1010016,25,9,1,4,1,5,1,3611,172,1,7,1,2,62,47,1021,13,9815
164912039,164912,38540,302,95,13,1010010,15,53,9,2,5,4,12,3611,172,1,7,1,2,62,47,1021,13,9815
174057022,174057,15009,295,78,11,1010001,0,51,24,1,2,4,12,6563,20,5,0,4,0,44,1,1017,18,1351
174057026,174057,15009,295,78,11,1010001,0,6,22,1,2,12,6,6563,20,5,0,4,0,44,1,1017,18,1351
174057027,174057,15009,295,78,11,1010001,0,73,5,4,1,2,2,6563,20,5,0,4,0,44,1,1017,18,1351
174057028,174057,15009,295,78,11,1010001,0,51,24,1,2,4,12,6563,20,5,0,4,0,44,1,1017,18,1351
174057029,174057,15009,295,78,11,1010006,8,10,47,3,3,9,16,6563,20,5,0,4,0,44,1,1017,18,1351
174057030,174057,15009,295,78,11,1010017,26,81,27,1,2,7,14,6563,20,5,0,4,0,44,1,1017,18,1351
174057032,174057,15009,295,78,11,1010001,0,73,5,4,1,2,2,6563,20,5,0,4,0,44,1,1017,18,1351
174057033,174057,15009,295,78,11,1010001,0,51,24,1,2,4,12,6563,20,5,0,4,0,44,1,1017,18,1351
174057035,174057,15009,295,78,11,1010001,0,81,27,1,2,7,14,6563,20,5,0,4,0,44,1,1017,18,1351
174057036,174057,15009,295,78,11,1010017,26,22,48,7,4,8,17,6563,20,5,0,4,0,44,1,1017,18,1351
174057037,174057,15009,295,78,11,1010017,26,73,5,4,1,2,2,6563,20,5,0,4,0,44,1,1017,18,1351
